ID,Gender,Party,Before_Polarization,After_Polarization,Group,Location,Education,Age,Score_Difference
136,Male,Democrat,6,6,CONTROL,Suburban,Graduate,57,0
137,Female,Republican,4,8,TREATMENT,Rural,College,38,4
138,Male,Democrat,6,6,CONTROL,Urban,High School,58,0
139,Female,Republican,5,8,TREATMENT,Suburban,Graduate,32,3
140,Male,Democrat,5,5,CONTROL,Rural,College,62,0
141,Male,Republican,5,7,TREATMENT,Urban,Graduate,40,2
142,Female,Democrat,5,4,CONTROL,Rural,College,66,-1
143,Male,Republican,6,8,TREATMENT,Suburban,High School,30,2
144,Female,Democrat,5,5,CONTROL,Urban,Graduate,57,0
145,Male,Republican,6,9,TREATMENT,Rural,College,42,3
146,Female,Democrat,4,4,CONTROL,Suburban,High School,49,0
147,Male,Republican,5,8,TREATMENT,Urban,Graduate,46,3
148,Female,Democrat,6,6,CONTROL,Rural,College,63,0
149,Male,Republican,6,9,TREATMENT,Suburban,High School,39,3
150,Female,Democrat,5,5,CONTROL,Urban,Graduate,58,0
151,Female,Republican,5,7,TREATMENT,Rural,College,35,2
152,Male,Democrat,5,5,CONTROL,Urban,High School,55,0
153,Female,Republican,6,8,TREATMENT,Suburban,Graduate,41,2
154,Male,Democrat,4,6,CONTROL,Rural,College,53,2
155,Female,Republican,5,7,TREATMENT,Urban,High School,34,2
156,Male,Democrat,6,6,CONTROL,Suburban,Graduate,59,0
157,Female,Republican,4,8,TREATMENT,Rural,College,39,4
158,Male,Democrat,6,6,CONTROL,Urban,High School,60,0
159,Female,Republican,5,8,TREATMENT,Suburban,Graduate,33,3
160,Male,Democrat,5,5,CONTROL,Rural,College,63,0
161,Male,Republican,5,7,TREATMENT,Urban,Graduate,42,2
162,Female,Democrat,5,5,CONTROL,Rural,College,68,0
163,Male,Republican,6,8,TREATMENT,Suburban,High School,31,2
164,Female,Democrat,5,5,CONTROL,Urban,Graduate,59,0
165,Male,Republican,6,9,TREATMENT,Rural,College,44,3
166,Female,Democrat,4,4,CONTROL,Suburban,High School,50,0
167,Male,Republican,5,8,TREATMENT,Urban,Graduate,48,3
168,Female,Democrat,6,5,CONTROL,Rural,College,65,-1
169,Male,Republican,6,9,TREATMENT,Suburban,High School,41,3
170,Female,Democrat,5,5,CONTROL,Urban,Graduate,60,0
171,Female,Republican,5,7,TREATMENT,Rural,College,36,2
172,Male,Democrat,5,5,CONTROL,Urban,High School,57,0
173,Female,Republican,6,8,TREATMENT,Suburban,Graduate,43,2
174,Male,Democrat,4,4,CONTROL,Rural,College,55,0
175,Female,Republican,5,7,TREATMENT,Urban,High School,35,2
176,Male,Democrat,6,6,CONTROL,Suburban,Graduate,61,0
177,Female,Republican,4,8,TREATMENT,Rural,College,40,4
178,Male,Democrat,6,6,CONTROL,Urban,High School,62,0
179,Female,Republican,5,8,TREATMENT,Suburban,Graduate,34,3
180,Male,Democrat,5,5,CONTROL,Rural,College,65,0
181,Male,Republican,5,7,TREATMENT,Urban,Graduate,44,2
182,Female,Democrat,5,5,CONTROL,Rural,College,70,0
183,Male,Republican,6,8,TREATMENT,Suburban,High School,32,2
184,Female,Democrat,5,5,CONTROL,Urban,Graduate,61,0
185,Male,Republican,6,9,TREATMENT,Rural,College,46,3
186,Female,Democrat,4,4,CONTROL,Suburban,High School,51,0
187,Male,Republican,5,8,TREATMENT,Urban,Graduate,50,3
188,Female,Democrat,6,5,CONTROL,Rural,College,67,-1
189,Male,Republican,6,9,TREATMENT,Suburban,High School,43,3
190,Female,Democrat,5,4,CONTROL,Urban,Graduate,62,-1
191,Female,Republican,5,7,TREATMENT,Rural,College,37,2
192,Male,Democrat,5,4,CONTROL,Urban,High School,59,-1
193,Female,Republican,6,8,TREATMENT,Suburban,Graduate,45,2
194,Male,Democrat,4,3,CONTROL,Rural,College,57,-1
195,Female,Republican,5,7,TREATMENT,Urban,High School,36,2
196,Male,Democrat,6,5,CONTROL,Suburban,Graduate,63,-1
197,Female,Republican,4,8,TREATMENT,Rural,College,41,4
198,Male,Democrat,6,5,CONTROL,Urban,High School,64,-1
199,Female,Republican,5,8,TREATMENT,Suburban,Graduate,35,3
200,Male,Democrat,5,4,CONTROL,Rural,College,67,-1
